"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","GADS",1,48,32.0363997616907,1.06790894415801,"[17.18, 46.95]",17.1795551252127,46.948044759105,7.32121486582626,0.448595145106514
"2","GADS",2,53,44.9490894488842,1.30351650931469,"[25.9, 63.99]",25.9045496928765,63.989676363419,9.39979122549589,0.574593021429639
"3","GADS",3,31,36.0178388689929,2.74951832400006,"[4.71, 67.24]",4.71310720412058,67.2420579403717,15.0597320832863,0.935842574775997
"4","META",1,48,41.9624666204908,0.712101104041077,"[32.04, 51.89]",32.0435669195129,51.8937371516236,4.88191920986987,0.299131400523742
"5","META",2,53,28.0729018255208,1.06155898528745,"[12.5, 43.52]",12.4997404853258,43.5155413087311,7.65501070676683,0.467937598352919
"6","META",3,31,26.5736379129062,1.33661078685286,"[11.37, 41.76]",11.3663222414522,41.7632355171837,7.3209187856404,0.454936877242548
"7","RADIO",1,48,51.323434196971,1.84534140371285,"[25.62, 77.06]",25.6199639041648,77.0597675952279,12.6510232836745,0.775170204630427
"8","RADIO",2,53,113.756944210094,3.84987457612816,"[57.72, 170.21]",57.7229075205743,170.205534207541,27.7618403766706,1.69703340848796
"9","RADIO",3,31,64.9527150188296,1.61458217134844,"[46.52, 83.24]",46.5210688667462,83.2395472164376,8.84343076193211,0.549548887611673
"10","RADIO2",1,48,19.6147300004832,1.09070689369873,"[4.39, 34.79]",4.38891036667799,34.7929041119365,7.47750973347486,0.458171850628366
"11","RADIO2",2,53,0,0,"[0, 0]",0,0,0,0
"12","RADIO2",3,31,6.52920154658129,1.01786359082273,"[0, 18.11]",0,18.1078935311465,5.57506849156819,0.295535661760434
"13","TV",1,48,25.7713969694368,0.810478601816139,"[14.48, 37.07]",14.4790856532571,37.0715772590635,5.55636135506742,0.340456710262032
"14","TV",2,53,44.7251587195883,0.976168520832202,"[30.53, 59.05]",30.5267757668573,59.0477047324875,7.03925131070868,0.430297288758056
"15","TV",3,31,29.2746283163621,1.10641816693838,"[16.66, 41.82]",16.6587718925172,41.8206944191996,6.06010188065665,0.376587134222179
"16","TV2",1,48,3.39801869901374,0.0814343741975078,"[2.26, 4.53]",2.26485446561342,4.53487789542219,0.558285942097925,0.0342080334747941
"17","TV2",2,53,2.8379414611397,0.132160902002554,"[0.91, 4.77]",0.90931692752264,4.77069087844151,0.953025817563562,0.0582568241014746
"18","TV2",3,31,4.25333978508865,0.132551609299395,"[2.75, 5.77]",2.75432901640834,5.76878903129365,0.7260150644689,0.0451160620588193
"19","YT",1,48,1.37826038436869,0.388537351640755,"[0, 6.81]",0,6.81184453954607,2.66367788220358,0.122618184888417
"20","YT",2,53,0,0,"[0, 0]",0,0,0,0
"21","YT",3,31,0,0,"[0, 0]",0,0,0,0
